;set_id;name;year;theme;subtheme;themeGroup;category;pieces;minifigs;agerange_min;US_retailPrice;bricksetURL;thumbnailURL;imageURL
7690;COMCON001-1;Clone Wars (SDCC 2008 exclusive);2008;Star Wars;Promotional;Licensed;Other;351.0;5.0;;;https://brickset.com/sets/COMCON001-1;https://images.brickset.com/sets/small/COMCON001-1.jpg;https://images.brickset.com/sets/images/COMCON001-1.jpg
7691;COMCON002-1;BrickMaster (SDCC 2008 exclusive);2008;Indiana Jones;Promotional;Licensed;Other;83.0;2.0;;;https://brickset.com/sets/COMCON002-1;https://images.brickset.com/sets/small/COMCON002-1.jpg;https://images.brickset.com/sets/images/COMCON002-1.jpg
7692;COMCON003-1;Batman And Joker (SDCC 2008 exclusive);2008;Batman;Promotional;Licensed;Other;9.0;2.0;;;https://brickset.com/sets/COMCON003-1;https://images.brickset.com/sets/small/COMCON003-1.jpg;https://images.brickset.com/sets/images/COMCON003-1.jpg
7693;HOUSTON-1;{Space Shuttle};2008;Promotional;LEGO brand store opening set;Miscellaneous;Other;65.0;;;;https://brickset.com/sets/HOUSTON-1;https://images.brickset.com/sets/small/HOUSTON-1.jpg;https://images.brickset.com/sets/images/HOUSTON-1.jpg
7694;ISBN9781593271701-1;The LEGO Mindstorms NXT Zoo!;2008;Books;No Starch Press;Miscellaneous;Book;;;;;https://brickset.com/sets/ISBN9781593271701-1;https://images.brickset.com/sets/small/ISBN1593271700-1.jpg;https://images.brickset.com/sets/images/ISBN1593271700-1.jpg
7695;ISBN9781593271886-1;LEGO MINDSTORMS NXT One-Kit Wonders;2008;Books;No Starch Press;Miscellaneous;Book;;;;;https://brickset.com/sets/ISBN9781593271886-1;https://images.brickset.com/sets/small/ISBN1593271883-1.jpg;https://images.brickset.com/sets/images/ISBN1593271883-1.jpg
7696;ISBN9783898808873-1;50 Years of the LEGO Brick;2008;Books;Heel-Verlag;Miscellaneous;Book;;;;;https://brickset.com/sets/ISBN9783898808873-1;https://images.brickset.com/sets/small/ISBN3898808874-1.jpg;https://images.brickset.com/sets/images/ISBN3898808874-1.jpg
7697;ISBN9783935976527-1;LEGO Collector 1st Edition;2008;Books;Fantasia Verlag GmbH;Miscellaneous;Book;;;;;https://brickset.com/sets/ISBN9783935976527-1;https://images.brickset.com/sets/small/ISBN3935976526-1.jpg;https://images.brickset.com/sets/images/ISBN3935976526-1.jpg
7698;ISBN9783935976534-1;LEGO Collector 1st Edition Premium Edition;2008;Books;Fantasia Verlag GmbH;Miscellaneous;Book;;1.0;;;https://brickset.com/sets/ISBN9783935976534-1;https://images.brickset.com/sets/small/ISBN3935976534-1.jpg;https://images.brickset.com/sets/images/ISBN3935976534-1.jpg
7699;K810010-1;Duplo 3-Piece Bedding Set Green - Baby;2008;Gear;Bedding;Miscellaneous;Gear;;;;;https://brickset.com/sets/K810010-1;https://images.brickset.com/sets/small/K810010-1.jpg;https://images.brickset.com/sets/images/K810010-1.jpg
